t,银行业,证券业,保险业,多元金融,房地产
2010w19,-0.02526,-0.071571,-0.040359,-0.03521,-0.074901
2010w20,-0.016812,-0.073886,-0.016427,-0.039086,-0.017405
2010w21,-0.017979,-0.080645,-0.038286,-0.068106,-0.030775
2010w22,0.011562,0.057702,0.004183,0.015258,0.068044
2010w23,-0.0382,-0.051164,-0.027707,-0.013509,-0.041654
2010w24,-0.014687,0.023703,-0.010685,0.002268,0.005333
2010w25,0.012257,-0.013163,-0.000817,-0.018181,0.003385
2010w26,0.028428,0.019282,0.043999,0.019402,0.034463
2010w27,-0.032689,-0.157437,-0.075136,-0.181351,-0.033226
2010w28,0.00726,-0.01746,0.002018,-0.009572,0.004763
2010w29,0.024945,0.00715,-0.043858,0.03947,0.031897
2010w30,0.02652,0.047122,0.038491,0.039596,0.044248
2010w31,0.019995,0.044971,0.030648,0.028522,0.039672
2010w32,-0.002234,0.014568,0.033974,0.027408,0.001403
2010w33,-0.026482,-0.030711,0.007862,0.021168,-0.01481
2010w34,0.013836,0.01636,0.021992,0.029762,0.022794
2010w35,-0.019657,-0.029406,-0.007938,0.001554,-0.035895
2010w36,-0.00511,-0.006029,-0.009698,0.008316,-0.009043
2010w37,-0.003445,0.026441,0.017546,0.002688,-0.00427
2010w38,-0.037828,-0.029512,-0.026732,-0.010064,-0.033887
2010w39,-0.012175,-0.03899,-0.017302,-0.013167,-0.025346
2010w40,-0.054749,0.066766,0.015477,-0.183602,0.036971
2010w41,0.043895,0.064411,0.051187,0.012128,0.038239
2010w42,0.066916,0.118987,0.082211,0.021389,0.059363
2010w43,0.086381,0.11545,0.094291,0.019635,-0.004276
2010w44,-0.015278,0.037392,-0.020195,0.053637,0.010356
2010w45,0.012046,-0.00147,-0.013955,0.0003,0.019257
2010w46,-0.016088,-0.010037,0.000119,0.01385,-0.013314
2010w47,-0.062031,-0.127982,-0.082392,-0.042235,-0.085235
2010w48,-0.022669,-0.00602,-0.017268,0.035519,-0.003605
2010w49,-0.005607,-0.021747,-0.009352,0.002726,-0.00804
2010w50,-0.000112,0.033005,0.013414,-0.010753,0.010496
2010w51,0.004434,0.011886,0.002095,0.017511,0.009859
2010w52,-0.005408,-0.026603,-0.033485,-0.016386,0.028591
2011w3,0.019272,-0.023718,-0.010414,-0.01313,0.015262
2011w4,-0.038369,-0.058253,-0.043898,-0.02902,-0.060757
2011w5,0.008075,0.002344,-0.00841,-0.025867,-0.004091
2011w6,0.005237,0.027647,0.021702,0.030539,-0.001205
2011w7,-0.001885,-0.007368,0.006741,0.016295,0.01303
2011w8,0.029879,0.094745,0.041183,0.028093,0.029562
2011w9,-0.022417,-0.014716,-0.020168,0.014889,-0.031713
2011w10,0.02713,0.008793,0.01562,0.027672,0.0303
2011w11,0.021672,0.014986,0.016635,0.017237,0.026217
2011w12,-0.029896,-0.033329,-0.042814,-0.0055,-0.022925
2011w13,0.016797,0.00637,0.00454,0.012783,0.030116
2011w14,0.0313,-0.030754,0.052223,-0.084448,0.061718
2011w15,0.037705,0.025011,0.031437,0.034902,0.026136
2011w16,0.004465,0.001162,0.012354,0.03599,-0.007304
2011w17,-0.007756,-0.022041,0.016615,0.004734,0.034825
2011w18,0.000466,-0.03686,-0.044744,0.010598,-0.045359
2011w19,-0.015412,-0.039754,-0.025014,0.024985,-0.01432
2011w20,-0.012385,-0.003487,-0.013111,0.029921,0.020037
2011w21,0.000607,0.006081,-0.007144,0.004225,0.018965
2011w22,-0.026781,-0.047427,-0.04603,-0.049741,-0.054443
2011w23,-0.01137,0.007755,-0.009523,-0.04769,-0.027431
2011w24,-0.029421,-0.013742,-0.009948,-0.001549,0.019146
2011w25,-0.02126,-0.021842,-0.022007,-0.011571,0.021912
2011w26,0.00066,0.002459,-0.011282,0.005671,0.016617
2011w27,-0.068154,-0.048166,0.215643,0.022412,0.42378
2011w28,0.005046,0.015648,0.022616,0.031279,0.063215
2011w29,0.001698,-0.024494,-0.02819,0.129484,-0.018238
2011w30,-0.008997,-0.008945,-0.010405,0.092656,-0.011797
2011w31,-0.035342,-0.041785,-0.043172,-0.047653,-0.033743
2011w32,0.000768,-0.014401,-0.015146,-0.00262,0.003779
2011w33,-0.010694,-0.074633,-0.069432,-0.033155,-0.025993
2011w34,0.028205,0.008555,0.026257,0.034258,0.025586
2011w35,0.005837,0.011853,0.0016,-0.002166,0.000481
2011w36,-0.00191,0.008788,-0.007094,0.001074,0.007462
2011w37,-0.007818,-0.02199,-0.023911,-0.028159,-0.001244
2011w38,-0.001586,0.021299,0.00334,0.009192,0.002077
2011w39,-0.011434,0.001193,-0.00782,-0.013467,0.13193
2011w40,-0.030065,-0.020293,-0.060205,-0.053264,-0.061576
2011w43,0.010146,-0.020677,-0.015875,-0.01915,-0.023835
2011w44,0.035432,0.028515,0.047523,0.00282,0.056447
2011w45,0.011948,0.018256,0.058725,0.050209,0.044909
2011w46,-0.009154,-0.015826,-0.001642,0.006586,-0.02019
2011w47,-0.018139,-0.019829,-0.021422,0.000699,-0.01283
2011w48,-0.023945,-0.043943,-0.0423,-0.022607,-0.03211
2011w49,0.000676,-0.037337,-0.003883,-0.007778,0.011274
2011w50,0.011634,-0.022353,-0.000354,-0.05688,0.016178
2011w51,-0.017806,-0.061683,-0.04025,-0.071957,-0.040677
2011w52,0.002993,-0.059994,-0.019178,-0.026874,0.025286
2012w3,0.033239,0.063348,0.052224,0.050256,0.03891
2012w4,0.014371,0.03319,0.026462,-0.005499,0.002149
2012w7,0.010607,0.002387,0.010808,0.023277,0.024305
2012w8,-0.012803,0.023585,0.00705,0.030161,0.017628
2012w9,0.009589,0.040156,0.035363,0.026356,0.044661
2012w10,0.015791,0.05475,0.002856,0.043034,0.048411
2012w11,-0.018903,0.044236,-0.037473,0.023984,0.018213
2012w12,-0.013685,-0.000561,-0.008823,-0.006024,-0.038544
2012w13,-0.016395,-0.022594,-0.027892,-0.023086,-0.030158
2012w14,-0.004081,-0.053768,-0.032602,-0.039259,-0.030265
2012w15,0.04249,0.009225,0.025062,0.47398,0.068585
2012w16,0.002941,0.0226,0.01346,0.0462,0.031265
2012w17,0.017289,0.048084,0.037856,0.074369,0.035328
2012w18,0.026347,0.011532,0.047055,0.128277,0.067206
2012w19,0.010264,0.035397,0.021446,7.8e-05,0.03549
2012w20,-0.012016,-0.018704,-0.031112,0.007946,-0.023123
2012w21,-0.03021,-0.003897,-0.016682,-0.013857,-0.017381
2012w22,-0.013409,0.018273,-0.003056,-0.028621,0.003498
2012w23,0.001365,0.032417,0.002354,0.145692,0.045363
2012w24,-0.030416,-0.043908,-0.036624,0.039907,-0.033489
2012w25,-0.018797,0.019969,0.064478,0.043354,0.047206
2012w26,0.009623,-0.022197,0.012434,-0.006353,-0.021154
2012w27,-0.015833,-0.075084,-0.01925,-0.043167,-0.026162
2012w28,-0.015394,-0.012456,0.055498,0.023621,0.058178
2012w29,-0.037919,-0.034209,-0.007481,-0.051043,0.003082
2012w30,-0.003257,0.042101,0.002212,0.010508,-0.030639
2012w31,-0.023437,0.000824,-0.001413,0.012809,-0.039558
2012w32,0.02889,-0.05345,-0.032438,-0.035726,-0.026064
2012w33,0.006379,0.039558,0.004285,0.047895,0.010628
2012w34,-0.005237,-0.086554,-0.048739,-0.027412,-0.024858
2012w35,-0.014809,-0.007877,-0.023103,-0.001321,-0.037379
2012w36,0.013077,-0.053001,-0.02556,0.101193,-0.029652
2012w37,-0.018672,0.043584,0.034667,0.069478,0.031306
2012w38,0.005614,0.072532,0.022037,0.019335,0.020388
2012w39,-0.028247,-0.049478,-0.037447,-0.064448,-0.058213
2012w40,-0.013373,0.041235,0.022928,-0.035107,-0.001807
2012w43,0.014336,0.00106,-0.016174,0.009083,0.013324
2012w44,-0.000201,-0.025273,-0.001811,0.017878,0.020812
2012w45,-0.0047,-0.028457,-0.034901,-0.014125,0.008784
2012w46,0.013719,5.8e-05,0.000555,0.001793,0.013723
